新鄉鎮市區,新交易標的,新土地區段,新主要用途,新建物型態,新總樓層數,新主要建材
北投區,房地(土地+建物)+車位,磺港路121~150號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
內湖區,房地(土地+建物)+車位,文德路208巷6弄1~30號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
中山區,房地(土地+建物)+車位,長春路181~210號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
中山區,房地(土地+建物),林森北路391~420號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
文山區,房地(土地+建物)+車位,辛亥路四段21巷1~30號,住家用,住宅大樓(11層含以上有電梯),十八層,鋼筋混凝土造
文山區,房地(土地+建物)+車位,辛亥路六段21巷1~30號,住家用,住宅大樓(11層含以上有電梯),二十二層,鋼筋混凝土造
萬華區,房地(土地+建物)+車位,康定路91~120號,住家用,住宅大樓(11層含以上有電梯),二十六層,見其他登記事項
中山區,房地(土地+建物)+車位,五常街11巷1~30號,住家用,住宅大樓(11層含以上有電梯),十七層,鋼筋混凝土造
大同區,房地(土地+建物),寧夏路151~180號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
中山區,房地(土地+建物),新生北路二段62巷1~30號,住家用,住宅大樓(11層含以上有電梯),十九層,鋼骨鋼筋混凝土造
內湖區,房地(土地+建物)+車位,內湖路二段103巷1~30號,住家用,住宅大樓(11層含以上有電梯),二十六層,見其他登記事項
文山區,房地(土地+建物)+車位,辛亥路四段77巷1~30號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
文山區,房地(土地+建物),辛亥路四段21巷1~30號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
中山區,房地(土地+建物),新生北路二段68巷1~30號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
中山區,房地(土地+建物),建國北路二段121~150號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
中山區,房地(土地+建物),建國北路二段31~60號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
內湖區,房地(土地+建物),民權東路六段121~150號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
信義區,房地(土地+建物)+車位,忠孝東路五段211~240號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
南區,房地(土地+建物),學府路168巷1~30號,住家用,住宅大樓(11層含以上有電梯),十九層,鋼筋混凝土造
北區,房地(土地+建物),中清路一段91~120號,住家用,住宅大樓(11層含以上有電梯),十八層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,東山路一段121~150號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
北屯區,房地(土地+建物),天津路四段301~330號,住家用,住宅大樓(11層含以上有電梯),二十四層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,瀋陽路二段151~180號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
南屯區,房地(土地+建物)+車位,永春東七路781~810號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,國安一路211~240號,住家用,住宅大樓(11層含以上有電梯),二十一層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,福科路397巷1~30號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
南屯區,房地(土地+建物),忠勇路31~60號,住家用,住宅大樓(11層含以上有電梯),十六層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,至善路31~60號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
南屯區,房地(土地+建物)+車位,向上路二段151~180號,住家用,住宅大樓(11層含以上有電梯),二十五層,見其他登記事項
西屯區,房地(土地+建物)+車位,福瑞街91~120號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
南屯區,房地(土地+建物)+車位,忠勇路31~60號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
西屯區,房地(土地+建物),文心路三段1~30號,住家用,住宅大樓(11層含以上有電梯),二十六層,鋼筋混凝土造
南屯區,房地(土地+建物)+車位,黎明路二段61~90號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,松竹路二段160巷1~30號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
北區,房地(土地+建物),健行路421~450號,住家用,住宅大樓(11層含以上有電梯),十六層,鋼筋混凝土造
西屯區,房地(土地+建物),福科路397巷1~30號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
南屯區,房地(土地+建物)+車位,永春東路991~1020號,住家用,住宅大樓(11層含以上有電梯),十六層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,建和路一段391~420號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
潭子區,房地(土地+建物)+車位,大新路91~120號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,文心路二段541~570號,住家用,住宅大樓(11層含以上有電梯),二十三層,鋼筋混凝土造
西屯區,房地(土地+建物),福科路931~960號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
南屯區,房地(土地+建物)+車位,忠勇路31~60號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,福科路901~930號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,惠來路三段181~210號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,山西路三段211~240號,住家用,住宅大樓(11層含以上有電梯),十九層,鋼筋混凝土造
北區,房地(土地+建物)+車位,五權路361~390號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
北區,房地(土地+建物),漢口路四段361~390號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
北區,房地(土地+建物),東光東街61~90號,住家用,住宅大樓(11層含以上有電梯),十六層,鋼筋混凝土造
西區,房地(土地+建物),三民路一段50巷1~30號,住家用,住宅大樓(11層含以上有電梯),十九層,鋼筋混凝土造
西區,房地(土地+建物)+車位,精誠路61~90號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
西區,房地(土地+建物),三民路一段50巷1~30號,住家用,住宅大樓(11層含以上有電梯),十九層,鋼筋混凝土造
南區,房地(土地+建物),學府路168巷1~30號,住家用,住宅大樓(11層含以上有電梯),十九層,鋼筋混凝土造
西區,房地(土地+建物)+車位,大忠南街91~120號,住家用,住宅大樓(11層含以上有電梯),十九層,鋼筋混凝土造
西區,房地(土地+建物)+車位,五權西四街1~30號,住家用,住宅大樓(11層含以上有電梯),二十九層,鋼筋混凝土造
西區,房地(土地+建物),忠明南路121~150號,住家用,住宅大樓(11層含以上有電梯),二十四層,鋼筋混凝土造
西區,房地(土地+建物)+車位,忠明南路121~150號,住家用,住宅大樓(11層含以上有電梯),二十四層,鋼筋混凝土造
南區,房地(土地+建物),美村南路61~90號,住家用,住宅大樓(11層含以上有電梯),二十二層,鋼筋混凝土造
北區,房地(土地+建物),健行路421~450號,住家用,住宅大樓(11層含以上有電梯),十六層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,崇德路二段301~330號,住家用,住宅大樓(11層含以上有電梯),二十五層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,文心路四段271~300號,住家用,住宅大樓(11層含以上有電梯),二十二層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,崇德二路二段61~90號,住家用,住宅大樓(11層含以上有電梯),十七層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,東光路781~810號,住家用,住宅大樓(11層含以上有電梯),十七層,鋼筋混凝土造
北區,房地(土地+建物)+車位,東漢街1~30號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,國安一路211~240號,住家用,住宅大樓(11層含以上有電梯),二十一層,鋼筋混凝土造
南屯區,房地(土地+建物),公益路二段601~630號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
南屯區,房地(土地+建物),向上路三段61~90號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,永昌一街1~30號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,崇德路二段301~330號,住家用,住宅大樓(11層含以上有電梯),二十五層,鋼筋混凝土造
南區,房地(土地+建物)+車位,忠明南路730巷31~60號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,文華路31~60號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
豐原區,房地(土地+建物),向陽路31~60號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,西屯路二段241~270號,住家用,住宅大樓(11層含以上有電梯),十六層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,臺灣大道三段661~690號,住家用,住宅大樓(11層含以上有電梯),二十四層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,福聯街31~60號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
西屯區,房地(土地+建物),福科路931~960號,住家用,住宅大樓(11層含以上有電梯),十六層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,青海路二段301~330號,住家用,住宅大樓(11層含以上有電梯),十四層,見其他登記事項
西屯區,房地(土地+建物)+車位,市政路91~120號,住家用,住宅大樓(11層含以上有電梯),十九層,鋼筋混凝土造
北區,房地(土地+建物)+車位,梅川西路四段211~240號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
北區,房地(土地+建物)+車位,文心路四段181~210號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
北區,房地(土地+建物),進化北路361~390號,住家用,住宅大樓(11層含以上有電梯),十八層,鋼筋混凝土造
